Pond Name,Storm Date,Pond Index,Highest Bounce,Max Bounce Norm,Max Bounce,Decline Rate,Highest Decline Rate,Decline Rate Norm,Highest Inflow Rate,Inflow Rate Norm,Inflow Rate,Temp Variance Max,Temp Range Max,Temp Variance Norm,Temp Range Norm,Temp Variance,Temp Range,Attenuation,Urban Baseflow,Median.Water.Level,Constant.Water.Level,Contant.Water.Level.6in,Outlet.Water.Level,Below.Outlet.Water.Level,Water.Level.25.75.Quantile,Water.Level.10.90.Quantile,Pond.Skewness,L to W ratio,Pond Chain,Pipe,Rectangular Weir,Vnotch Weir,Other Weir,Other,Number of Outlets,Year Built,Pond Age,Total # Veg Species,# Native Species,# Non-native species,% Native Species,% Non-native species,LF Outlet Restrict,HF Outlet Restrict,LF Outlet Restrict Norm,HF Outlet Restrict,Watershed Area ft2,Pond Area ft2,WA/PA,Avg Pond Depth,Max Pond Depth,Res Time,Average Watershed Slope,Impervious Percent Recalc,Commercial Percent,Residential Percent,Greenspace Percent,Canopy Percent,Curve Number,Average Development Age,Total Richness,Plant Richness,Animal Richness,Invert Richness,Vert Richness,Fish Richness,Herp Richness,Amphib Richness,Chloride Change (%),YSI DO Change (%),Secchi Disk Change (%),SPC Change (%),Sulfate Change (%),Temperature Change (%),TN Change (%),TP Change (%),TSS Change (%),Nitrate Change (%),Ammonia Change (%),Secchi Disk Depth (cm),YSI DO (%),YSI DO (mg/L),Temperature (Degrees Celsius),SPC,TSS (mg/L),Chloride (mg/L),Sulfate (mg/L),TN (ug/L),TP (ug/L),Ammonia (ug/L),Nitrate (ug/L),avg_bd (g/cm3),avg_sed_cm,per_om,area est(g om/cm2),Percent.Days.Outflow,Peak Outflow,Chloride Difference,YSI DO Difference,Sulfate Difference,TN Difference,TP Difference,TSS  Difference,Ammonia Difference,Nitrate Difference,SPC Difference,Runoff Depth in,Max Runoff Depth,Runoff Depth Norm,Odor,Odor.Late,Trash Count,Trash.Late,Clar.Late,Odor.Diff,Trash.Diff,Clar.Diff,m_algae,m_sav,m_fl,m_emerg,Comm Percent 100m Buffer,Comm Percent 200m Buffer,Comm Percent 300m Buffer,Res Percent 100m Buffer,Res Percent 200m Buffer,Res Percent 300m Buffer,GS Percent 100m Buffer,GS Percent 200m Buffer,GS Percent 300m Buffer,Mow Distance
HPChurch,28-Jul,6,5.555487175,1,5.555487175,-0.040040554,-0.040040554,1,137.6269647,1,137.6269647,7.799965071,11.455,0.324369188,0.619186188,2.530068333,7.09277778,0.150047904,100,1.324469073,26.42565973,54.05277837,48.94228706,78.19137524,0.483742043,1.146369409,2.506228898,1.684931507,1,0,1,0,0,0,1,2000,24,67,43,24,0.641791045,0.358208955,156.0725,183.3525,2.68E-06,3.15E-06,58228826.73,159671,364.6800404,59.55555556,104,0.005357909,0.7919103,32.21382276,0.334250136,0.520321166,0.145428698,45.11306301,79.90694143,1982.726212,38,16,22,14,8,3,5,3,7.569973206,-12.42829828,260,NA,-15.27202577,5.833333333,-39.90546043,-24.13782407,-72.0464135,-99.45096274,-84.45989061,15,62.1,5.23,24,NA,31.6,28.2894,2.8251,526.552,128.947,87.76,182.137,0.55546013,19.66666667,0.059759826,0.652819281,19.63190184,1851.045,2.1415,-0.65,-0.43145,-210.123,-31.125,-22.76666667,-74.122,-181.07,NA,1.934030952,1.934030952,1,2,2,0,0,54,0,0,39,4.2,78,22.2,2.8,0,0.17209401,0.283071155,0.135171412,0.410960944,0.450103817,0.864828588,0.416945046,0.266825028,50.86363636
DobA8,28-Jul,7,3.401545816,1,3.401545816,-0.041338368,-0.041338368,1,210.3915428,1,210.3915428,3.832739276,7.61,0.252100892,0.58833406,0.966236992,4.4772222,15.1775707,12.12121212,1.73162149,21.35727277,44.23508015,0.107854333,99.88580129,0.598269088,1.023529815,0.032566532,1.423529412,1,0,1,0,0,0,1,1998,26,45,26,19,0.577777778,0.422222222,55.55979,48.31733,4.51E-06,3.92E-06,12329890.28,50304,245.1075517,106.1111111,191,0.014203298,1.0960939,11.73447728,0.193259913,0.472137069,0.334603017,0.342623873,77.99923201,2001.746479,23,8,15,11,4,2,2,2,-0.594398549,25.42016807,-5,NA,-21.8825071,5.416666667,-14.41047402,-19.84779362,159.5555556,-96.77848265,-27.95023455,40,56.5,4.76,24,NA,11.25,9.926,1.8316,690.241,98.419,24.515,88.747,0.632610775,28,0.04107763,0.727612238,1.212121212,110.823,-0.059,1.21,-0.4008,-99.467,-19.534,17.95,-6.852,-85.888,NA,0.112764042,0.112764042,1,1,-2,5,5,38,-3,0,-2,29.7,6.8,0,0,0.085283283,0.153896482,0.133889156,0.292251963,0.304997676,0.331509167,0.622464754,0.541105842,0.534601677,10
Elver,28-Jul,9,3.620019108,1,3.620019108,-0.044520941,-0.044520941,1,100.0270129,1,100.0270129,6.110211532,11.38277778,0.362310355,0.589291815,2.213792912,6.70777778,0.249089328,43.03030303,1.622837082,29.28314654,56.27828294,59.32332417,61.49080144,0.482540753,1.068733715,0.016939567,2.213414634,1,0,1,0,0,0,1,1968,56,60,41,19,0.683333333,0.316666667,102.5599,74.99122,8.10E-06,5.92E-06,12664505.49,93049,136.1057667,100.1111111,237,0.02413186,1.2160701,19.82099894,0.129629228,0.253059169,0.617311583,0.347671366,70.51125449,1987.255583,30,12,19,14,5,3,2,1,49.44571433,95.76271186,100,NA,-1.088028169,-1.556420233,-13.23675289,-19.64073404,3.571428571,-98.43845157,-10.01405372,30,29,2.36,25.7,NA,7,51.2732,2.84,458.685,116.07,64.04,64.039,0.629364504,23.44444444,0.052428647,0.77358999,35.75757576,658.4761,25.3524,2.26,-0.0309,-60.715,-22.797,0.25,-6.413,-62.924,NA,1.36188125,2.715259286,0.50156582,-1,1,2,20,60,2,18,30,24,35,17.2,0,0,0.068233845,0.100900276,0,0,0.056402711,1,0.931766155,0.842697013,3
TwoFountains,28-Jul,10,1.62389704,1,1.62389704,-0.028023592,-0.028023592,1,70.12561029,1,70.12561029,2.683585783,7.22333333,0.468393186,0.781879711,1.256973295,5.64777778,79.61486453,48.48484848,1.455993034,19.94756206,45.43071003,33.67023301,38.13591576,0.70870095,1.066969898,-0.288019491,0.778145695,1,1,0,0,0,0,1,1988,36,29,11,18,0.379310345,0.620689655,13.11719,10.23678,1.09E-05,8.50E-06,1203934.68,51799,23.24243093,100,200,0.141157347,0.7010321,54.36319086,0.114449641,0.801048372,0.084502023,0.433688906,70.60835713,1982.775,26,9,18,11,7,3,4,2,-2.368141712,94.96932515,20,NA,-21.37863363,7.857142857,-2.736513567,-32.37628729,15.78947368,-86.78384986,3.367984828,50,104.1,8.15,28,NA,4.75,68.4883,1.6306,469.064,67.778,14.237,7.5665,0.629364504,23.44444444,0.052428647,0.77358999,20.60606061,14.50258,-1.6219,7.74,-0.3486,-12.836,-21.944,0.75,0.4795,-6.869,NA,0.474268226,1.027099819,0.461754755,0,0,50,30,60,0,-20,10,,12.5,2,1,0,0.042693188,0.129448023,0.832420385,0.839518762,0.704364322,0.167579615,0.11778805,0.166187655,0
Greentree,28-Jul,11,4.475781178,1,4.475781178,-0.033576509,-0.033576509,1,166.9106513,1,166.9106513,7.503719506,11.18666667,0.386099634,0.742848629,2.897183352,8.31,1.292066844,80.60606061,1.340920376,40.68459554,78.3056366,72.61617827,28.19146687,0.238745623,0.571923596,2.349449243,1.09,1,0,1,0,0,0,1,1972,52,66,35,31,0.53030303,0.46969697,40.51826,129.6276,9.07E-07,2.90E-06,44652977.5,79133,564.277577,316,600,0.018372968,0.8058982,33.70960849,0.446084515,0.458416149,0.09549954,0.185337626,82.23309923,1980.969331,34,10,24,14,10,5,5,3,71.23119124,90.20408163,216.6666667,NA,-1.367972993,2.097902098,-28.28758646,-53.18356902,-84.58195364,-98.5085262,-18.01325371,12,63.3,4.9,28.6,NA,120.8,68.0268,3.4065,923.451,224.308,106.838,143.147,0.629364504,23.44444444,0.052428647,0.77358999,33.33333333,871.6554,48.4563,4.42,-0.0466,-261.222,-119.295,-102.175,-19.245,-141.012,NA,0.371761424,0.507888074,0.7319751,-3,-1,40,10,38,2,-30,26,,13.5,5,3,0,0.05399879,0.094238516,0.085837626,0.397266237,0.484858926,0.914162374,0.548734973,0.420902558,14
HPChurch,14-Aug,6,5.555487175,0.778692406,4.326015675,-0.03116759,-0.040040554,0.778400569,137.6269647,0.202921153,27.92742234,7.799965071,11.455,1,1,7.799965071,11.455,0.46686393,100,1.324469073,26.42565973,54.05277837,48.94228706,78.19137524,0.483742043,1.146369409,2.506228898,1.684931507,1,0,1,0,0,0,1,2000,24,67,43,24,0.641791045,0.358208955,156.0725,183.3525,2.68E-06,3.15E-06,58228826.73,159671,364.6800404,59.55555556,104,0.005357909,0.7919103,32.21382276,0.334250136,0.520321166,0.145428698,45.11306301,79.90694143,1982.726212,38,16,22,14,8,3,5,3,0.323134067,-96.69312169,11.11111111,NA,2.976923709,24.5,-34.32848545,-29.6944154,-37.5,-98.69467034,-82.48422468,54,83.2,7.56,20,NA,4,18.0111,2.4354,434.004,94.671,38.668,76.609,0.55546013,19.66666667,0.059759826,0.652819281,19.63190184,1851.045,0.0582,-7.31,0.0725,-148.9865,-28.1115,-1.5,-31.895,-76.567,NA,1.642181666,1.934030952,0.849097924,2,2,0,0,60,0,0,6,4.2,78,22.2,2.8,0,0.17209401,0.283071155,0.135171412,0.410960944,0.450103817,0.864828588,0.416945046,0.266825028,50.86363636
DobA8,14-Aug,7,3.401545816,0.80452787,2.73663841,-0.035061926,-0.041338368,0.848169091,210.3915428,0.061832038,13.00893792,3.832739276,7.61,1,1,3.832739276,7.61,19.96945099,12.12121212,1.73162149,21.35727277,44.23508015,0.107854333,99.88580129,0.598269088,1.023529815,0.032566532,1.423529412,1,0,1,0,0,0,1,1998,26,45,26,19,0.577777778,0.422222222,55.55979,48.31733,4.51E-06,3.92E-06,12329890.28,50304,245.1075517,106.1111111,191,0.014203298,1.0960939,11.73447728,0.193259913,0.472137069,0.334603017,0.342623873,77.99923201,2001.746479,23,8,15,11,4,2,2,2,-10.72402101,-43.25259516,-36.66666667,NA,-47.63443818,18.78172589,30.32351069,1.276524082,-74.29435484,-98.87995341,-60.28773509,60,63.2,5.78,19.7,NA,49.6,3.0082,1.4542,534.14,89.07,12.442,89.282,0.632610775,28,0.04107763,0.727612238,1.212121212,110.823,-0.3226,-2.5,-0.6927,161.97,1.1375,-36.85,-7.501,-88.828,NA,0.09547834,0.112764042,0.846709102,0,-1,10,10,38,-1,0,-22,29.7,6.8,0,0,0.085283283,0.153896482,0.133889156,0.292251963,0.304997676,0.331509167,0.622464754,0.541105842,0.534601677,10
Elver,14-Aug,9,3.620019108,0.782974283,2.834381865,-0.031061347,-0.044520941,0.697679481,100.0270129,0.161910413,16.19541501,6.110211532,11.38277778,1,1,6.110211532,11.38277778,0.256013432,43.03030303,1.622837082,29.28314654,56.27828294,59.32332417,61.49080144,0.482540753,1.068733715,0.016939567,2.213414634,1,0,1,0,0,0,1,1968,56,60,41,19,0.683333333,0.316666667,102.5599,74.99122,8.10E-06,5.92E-06,12664505.49,93049,136.1057667,100.1111111,237,0.02413186,1.2160701,19.82099894,0.129629228,0.253059169,0.617311583,0.347671366,70.51125449,1987.255583,30,12,19,14,5,3,2,1,15.25900684,-6.980802792,-51.45631068,NA,23.52962572,18.84057971,9.770692517,14.16913301,282.4390244,-99.23026594,-79.9411848,51.5,63.9,5.73,20.7,NA,10.25,38.9121,2.7493,522.399,91.904,120.037,129.915,0.629364504,23.44444444,0.052428647,0.77358999,35.75757576,658.4761,5.9376,-0.4,0.6469,51.042,13.022,28.95,-95.959,-129.253,NA,2.715259286,2.715259286,1,-2,0,10,5,25,2,-5,-26.5,24,35,17.2,0,0,0.068233845,0.100900276,0,0,0.056402711,1,0.931766155,0.842697013,3
TwoFountains,14-Aug,10,1.62389704,0.474456469,0.770468455,-0.022166755,-0.028023592,0.791003345,70.12561029,0.001207428,0.084671625,2.683585783,7.22333333,1,1,2.683585783,7.22333333,47.66891661,48.48484848,1.455993034,19.94756206,45.43071003,33.67023301,38.13591576,0.70870095,1.066969898,-0.288019491,0.778145695,1,1,0,0,0,0,1,1988,36,29,11,18,0.379310345,0.620689655,13.11719,10.23678,1.09E-05,8.50E-06,1203934.68,51799,23.24243093,100,200,0.141157347,0.7010321,54.36319086,0.114449641,0.801048372,0.084502023,0.433688906,70.60835713,1982.775,26,9,18,11,7,3,4,2,-1.154052469,-13.06584362,10.09174312,NA,-21.52725446,2.325581395,38.00593006,32.86294564,2650,-57.15509854,3.384326126,54.5,119.2,9.72,25.8,NA,0.75,59.8413,1.5924,601.343,61.793,11.701,2.334,0.629364504,23.44444444,0.052428647,0.77358999,20.60606061,14.50258,-0.6906,-1.27,-0.3428,228.546,20.307,19.875,0.396,-1.467,NA,1.027099819,1.027099819,1,0,0,40,20,60,0,-20,5.5,,12.5,2,1,0,0.042693188,0.129448023,0.832420385,0.839518762,0.704364322,0.167579615,0.11778805,0.166187655,0
Greentree,14-Aug,11,4.475781178,0.600925516,2.689611112,-0.023477708,-0.033576509,0.699230167,166.9106513,0.07406626,12.36244772,7.503719506,11.18666667,1,1,7.503719506,11.18666667,3.432409365,80.60606061,1.340920376,40.68459554,78.3056366,72.61617827,28.19146687,0.238745623,0.571923596,2.349449243,1.09,1,0,1,0,0,0,1,1972,52,66,35,31,0.53030303,0.46969697,40.51826,129.6276,9.07E-07,2.90E-06,44652977.5,79133,564.277577,316,600,0.018372968,0.8058982,33.70960849,0.446084515,0.458416149,0.09549954,0.185337626,82.23309923,1980.969331,34,10,24,14,10,5,5,3,34.1425266,-6.21761658,-26.82926829,NA,46.77037656,7.949790795,-5.766085276,-32.12745759,-6.548672566,-98.32889961,-50.51835036,41,68.6,5.79,23.9,NA,56.5,46.4166,2.8734,632.162,137.991,132.15,177.428,0.629364504,23.44444444,0.052428647,0.77358999,33.33333333,871.6554,15.8478,-0.36,1.3439,-36.451,-44.333,-3.7,-66.76,-174.463,NA,0.507888074,0.507888074,1,-1,-1,20,5,30,0,-15,-11,,13.5,5,3,0,0.05399879,0.094238516,0.085837626,0.397266237,0.484858926,0.914162374,0.548734973,0.420902558,14
HPChurch,24-Sep,6,5.555487175,0.321181457,1.784319466,-0.037299802,-0.040040554,0.931550597,137.6269647,0.033552631,4.617746744,7.799965071,11.455,0.178159889,0.399388913,1.389640909,4.575,0.575786749,100,1.324469073,26.42565973,54.05277837,48.94228706,78.19137524,0.483742043,1.146369409,2.506228898,1.684931507,1,0,1,0,0,0,1,2000,24,67,43,24,0.641791045,0.358208955,156.0725,183.3525,2.68E-06,3.15E-06,58228826.73,159671,364.6800404,59.55555556,104,0.005357909,0.7919103,32.21382276,0.334250136,0.520321166,0.145428698,45.11306301,79.90694143,1982.726212,38,16,22,14,8,3,5,3,-8.199876849,294.4700461,68.82352941,-4.946996466,-22.06306643,6.043956044,-20.30896364,-36.16308167,-9.677419355,-95.60088699,-12.88105856,34,23.1,2.17,18.2,169.8,7.75,19.3259,2.9461,524.463,154.254,27.358,119.956,0.55546013,19.66666667,0.059759826,0.652819281,19.63190184,1851.045,-1.5847,6.39,-0.65,-106.513,-55.783,-0.75,-3.524,-114.679,-8.4,0.670023198,1.934030952,0.346438715,2,2,1,2,57.4,0,1,23.4,4.2,78,22.2,2.8,0,0.17209401,0.283071155,0.135171412,0.410960944,0.450103817,0.864828588,0.416945046,0.266825028,50.86363636
DobA8,24-Sep,7,3.401545816,0.40021715,1.361356972,-0.039510518,-0.041338368,0.955783208,210.3915428,0.005447831,1.146177662,3.832739276,7.61,0.152780132,0.362680683,0.585566414,2.76,100,12.12121212,1.73162149,21.35727277,44.23508015,0.107854333,99.88580129,0.598269088,1.023529815,0.032566532,1.423529412,1,0,1,0,0,0,1,1998,26,45,26,19,0.577777778,0.422222222,55.55979,48.31733,4.51E-06,3.92E-06,12329890.28,50304,245.1075517,106.1111111,191,0.014203298,1.0960939,11.73447728,0.193259913,0.472137069,0.334603017,0.342623873,77.99923201,2001.746479,23,8,15,11,4,2,2,2,-9.694185345,83.77581121,3.703703704,-16.06648199,-31.76417336,4.301075269,-49.8627245,-26.79304713,158.4615385,-91.92280637,-62.11995135,54,36.2,3.39,18.6,72.2,6.5,2.1549,0.8837,614.822,85.72,15.623,32.697,0.632610775,28,0.04107763,0.727612238,1.212121212,110.823,-0.2089,2.84,-0.2807,-306.567,-22.967,10.3,-9.705,-30.056,-11.6,0.019947122,0.112764042,0.176892574,0,0,5,10,56,0,5,2,29.7,6.8,0,0,0.085283283,0.153896482,0.133889156,0.292251963,0.304997676,0.331509167,0.622464754,0.541105842,0.534601677,10
Elver,24-Sep,9,3.620019108,0.469841896,1.700836643,-0.043255411,-0.044520941,0.9715745,100.0270129,0.048471146,4.84842392,6.110211532,11.38277778,0.230454285,0.461027869,1.408124432,5.24777778,0.091614558,43.03030303,1.622837082,29.28314654,56.27828294,59.32332417,61.49080144,0.482540753,1.068733715,0.016939567,2.213414634,1,0,1,0,0,0,1,1968,56,60,41,19,0.683333333,0.316666667,102.5599,74.99122,8.10E-06,5.92E-06,12664505.49,93049,136.1057667,100.1111111,237,0.02413186,1.2160701,19.82099894,0.129629228,0.253059169,0.617311583,0.347671366,70.51125449,1987.255583,30,12,19,14,5,3,2,1,-4.530737103,-40.72847682,-48.33333333,-4.168618267,-14.25995323,9.677419355,-48.63333029,-34.06158702,89.83957218,-72.44933013,44.71978163,60,65,6.04,18.6,213.5,22,31.3172,3.5491,634.462,93.786,23.446,23.288,0.629364504,23.44444444,0.052428647,0.77358999,35.75757576,658.4761,-1.4189,-2.46,-0.5061,-308.56,-31.945,19.76470588,10.485,-16.872,-8.9,1.525517628,2.715259286,0.56183129,0,-1,5,2,31,-1,-3,-29,24,35,17.2,0,0,0.068233845,0.100900276,0,0,0.056402711,1,0.931766155,0.842697013,3
TwoFountains,24-Sep,10,1.62389704,0.25431465,0.412980807,-0.020242642,-0.028023592,0.722342875,70.12561029,0.03348987,2.348497571,2.683585783,7.22333333,0.245994596,0.435548377,0.6601476,3.14611111,54.51934794,48.48484848,1.455993034,19.94756206,45.43071003,33.67023301,38.13591576,0.70870095,1.066969898,-0.288019491,0.778145695,1,1,0,0,0,0,1,1988,36,29,11,18,0.379310345,0.620689655,13.11719,10.23678,1.09E-05,8.50E-06,1203934.68,51799,23.24243093,100,200,0.141157347,0.7010321,54.36319086,0.114449641,0.801048372,0.084502023,0.433688906,70.60835713,1982.775,26,9,18,11,7,3,4,2,0.191380841,1.179245283,0,7.050268732,-3.201440648,6.632653061,-35.76247701,-45.36553372,-8.536585366,123.528768,-59.69179033,60,92.8,8.48,19.6,316.3,8.2,61.23915,0.99955,991.584,85.382,304.2085,18.2755,0.629364504,23.44444444,0.052428647,0.77358999,20.60606061,14.50258,0.1172,0.1,-0.032,-354.615,-38.734,-0.7,-181.5875,22.5755,22.3,0.082191971,1.027099819,0.080023353,0,0,40,40,60,0,0,0,,12.5,2,1,0,0.042693188,0.129448023,0.832420385,0.839518762,0.704364322,0.167579615,0.11778805,0.166187655,0
Greentree,24-Sep,11,4.475781178,0.378535889,1.694243807,-0.030144874,-0.033576509,0.897796552,166.9106513,0.021790874,3.637128951,7.503719506,11.18666667,0.204159798,0.443484306,1.531957856,4.96111111,9.021725416,80.60606061,1.340920376,40.68459554,78.3056366,72.61617827,28.19146687,0.238745623,0.571923596,2.349449243,1.09,1,0,1,0,0,0,1,1972,52,66,35,31,0.53030303,0.46969697,40.51826,129.6276,9.07E-07,2.90E-06,44652977.5,79133,564.277577,316,600,0.018372968,0.8058982,33.70960849,0.446084515,0.458416149,0.09549954,0.185337626,82.23309923,1980.969331,34,10,24,14,10,5,5,3,14.44192414,235.2272727,0,2.606635071,-21.05194466,11.11111111,-38.26520005,-40.39064459,-9.420289855,-73.96708497,-43.61883154,44,19,1.76,18.9,211,17.25,28.5239,3.831,620.475,127.584,148.092,150.448,0.629364504,23.44444444,0.052428647,0.77358999,33.33333333,871.6554,4.1194,4.14,-0.8065,-237.426,-51.532,-1.625,-64.596,-111.282,5.5,0.171297598,0.507888074,0.337274307,1,-1,5,5,44,-2,0,0,,13.5,5,3,0,0.05399879,0.094238516,0.085837626,0.397266237,0.484858926,0.914162374,0.548734973,0.420902558,14